0,0.000611454,,,,,
3600,0.000611454,,,,,
7200,0.000611454,,,,,
10800,0.000611454,,,,,
14400,0.000611454,,,,,
18000,0.000611454,,,,,
21600,0.000611454,,,,,
25200,0.000611454,,,,,
28800,0.000611454,,,,,
32400,0.000611454,,,,,
36000,0.000611454,,,,,
39600,0.000611454,,,,,
43200,0.000611454,,,,,
46800,0.000611454,,,,,
50400,0.000611454,,,,,
54000,0.000611454,,,,,
57600,0.000611454,,,,,
61200,0.000611454,,,,,
64800,0.000611454,,,,,
68400,0.000611454,,,,,
72000,0.000611454,,,,,
75600,0.000611454,,,,,
79200,0.000611454,,,,,
82800,0.000611454,,,,,
